timeInDeepZqPoints,startDate,timeToZ,awakeningsZqPoints,dayFeel,alarmRingIndex,morningFeel,timeInWakePercentage,wakeWindowEndIndex,alarmReason,totalZ,timeInWakeZqPoints,riseTime,timeInRemZqPoints,timeInLight,timeInDeep,wakeWindowShow,timeInWake,sleepStealerScore,timeInRem,totalZZqPoints,timeInRemPercentage,sleepGraphStartTime,awakenings,timeInDeepPercentage,wakeWindowStartIndex,bedTime,timeInLightPercentage,grouping
8,2011-6-4,7,-1,0,80,0,0,0,END_OF_WAKE_WINDOW,230,0,2011-06-05 08:15:00,5,127,False,2,0,67,32,28,2011-06-05 03:50:00,2,15,0,2011-06-05 03:54:28,57,DAILY
14,2011-6-11,15,0,0,88,0,0,0,END_OF_WAKE_WINDOW,401,0,2011-06-12 09:00:00,11,184,False,0,0,151,56,37,2011-06-12 01:40:00,0,16,0,2011-06-12 01:42:01,47,DAILY
16,2011-6-12,6,0,0,60,0,0,0,END_OF_WAKE_WINDOW,277,0,2011-06-13 07:00:00,2,168,False,0,0,34,40,12,2011-06-13 02:00:00,0,27,0,2011-06-13 02:05:51,61,DAILY
14,2011-6-13,14,0,0,80,0,0,0,END_OF_WAKE_WINDOW,388,0,2011-06-14 07:10:00,8,216,False,0,0,107,55,27,2011-06-14 00:20:00,0,17,0,2011-06-14 00:25:59,56,DAILY
13,2011-6-14,9,-1,0,87,0,0,0,END_OF_WAKE_WINDOW,431,0,2011-06-15 07:10:00,10,228,False,1,0,141,61,32,2011-06-14 23:45:00,1,14,0,2011-06-14 23:50:58,54,DAILY
11,2011-6-15,12,-1,0,79,0,0,0,END_OF_WAKE_WINDOW,381,0,2011-06-16 07:05:00,8,224,False,1,0,108,54,28,2011-06-16 00:25:00,1,12,0,2011-06-16 00:28:43,60,DAILY
12,2011-6-16,7,-1,0,96,0,0,0,END_OF_WAKE_WINDOW,473,0,2011-06-17 09:55:00,14,216,False,1,0,201,67,42,2011-06-17 01:45:00,1,11,0,2011-06-17 01:50:12,47,DAILY
6,2011-6-18,14,0,0,95,0,0,0,END_OF_WAKE_WINDOW,218,0,2011-06-19 05:45:00,2,164,False,0,0,25,31,11,2011-06-19 01:50:00,0,13,0,2011-06-19 01:55:36,76,DAILY
3,2011-6-19,24,0,0,59,0,0,0,END_OF_WAKE_WINDOW,155,0,2011-06-20 05:10:00,0,135,False,0,0,5,22,3,2011-06-20 02:10:00,0,9,0,2011-06-20 02:18:48,88,DAILY
12,2011-6-20,6,0,0,90,0,0,0,END_OF_WAKE_WINDOW,442,0,2011-06-21 07:10:00,9,264,False,0,0,121,62,27,2011-06-20 23:35:00,0,12,0,2011-06-20 23:40:17,61,DAILY
3,2011-6-23,25,-1,0,89,0,22,0,END_OF_WAKE_WINDOW,127,-3,2011-06-24 02:20:00,3,76,False,37,0,37,18,22,2011-06-24 00:00:00,2,8,0,2011-06-24 00:06:07,48,DAILY
9,2011-6-24,11,-2,0,95,0,16,0,END_OF_WAKE_WINDOW,262,-4,2011-06-25 06:35:00,4,161,False,51,0,57,38,18,2011-06-25 00:30:00,3,14,0,2011-06-25 00:33:27,52,DAILY
12,2011-6-30,8,0,0,95,0,0,0,END_OF_WAKE_WINDOW,355,0,2011-07-01 09:20:00,8,189,False,0,0,111,50,31,2011-07-01 01:50:00,0,15,0,2011-07-01 02:00:09,54,DAILY
11,2011-7-1,5,0,0,59,0,0,0,END_OF_WAKE_WINDOW,298,0,2011-07-02 07:55:00,6,160,False,0,0,85,42,28,2011-07-02 02:50:00,0,17,0,2011-07-02 02:53:47,55,DAILY
11,2011-7-2,2,-1,0,90,0,0,0,END_OF_WAKE_WINDOW,445,0,2011-07-03 10:05:00,10,245,False,2,0,147,64,32,2011-07-03 02:30:00,1,11,0,2011-07-03 02:35:36,57,DAILY
12,2011-7-3,11,0,0,94,0,0,0,END_OF_WAKE_WINDOW,455,0,2011-07-04 10:00:00,11,248,False,0,0,152,64,33,2011-07-04 02:10:00,0,12,0,2011-07-04 02:16:11,55,DAILY
11,2011-7-4,3,0,0,73,0,0,0,END_OF_WAKE_WINDOW,360,0,2011-07-05 07:05:00,5,238,False,0,0,69,51,19,2011-07-05 00:55:00,0,14,0,2011-07-05 01:01:00,67,DAILY
